type,value
variable 2,0.0
variable 2,-2.0
variable 2,-2.0
variable 2,-2.0
variable 2,-4.0
variable 2,0.0
variable 2,-2.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,-8.0
variable 2,0.0
variable 2,0.0
variable 2,2.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,-4.0
variable 2,2.0
variable 2,-2.0
variable 2,2.0
variable 2,4.0
variable 2,0.0
variable 2,-4.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,-1.0
variable 2,0.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,1.0
variable 2,-12.0
variable 2,4.0
variable 2,-4.0
variable 2,-6.0
variable 2,-2.0
variable 2,-1.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,0.0
variable 2,-4.0
variable 2,-6.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,-1.0
variable 2,0.0
variable 2,-2.0
variable 2,-4.0
variable 2,-5.0
variable 2,2.0
variable 2,0.0
variable 2,0.0
variable 2,-2.0
variable 2,-2.0
variable 2,-4.0
variable 2,-3.0
variable 2,4.0
variable 2,0.0
variable 2,-2.0
variable 2,-7.0
variable 2,6.0
variable 2,-4.0
variable 2,0.0
variable 2,-2.0
variable 2,2.0
variable 2,-2.0
variable 2,2.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,0.0
variable 2,-1.0
variable 2,-2.0
variable 2,-2.0
variable 2,0.0
variable 2,-2.0
variable 2,0.0
variable 2,4.0
variable 2,0.0
variable 2,-10.0
variable 2,-7.0
variable 2,-2.0
variable 2,-1.0
variable 2,2.0
variable 2,2.0
variable 2,0.0
variable 2,-3.0
variable 2,-2.0
variable 2,-2.0
variable 2,-2.0
variable 2,-7.0
variable 2,19.0
variable 2,2.0
variable 2,-2.0
variable 2,6.0
variable 2,0.0
variable 2,7.0
variable 2,-12.0
variable 2,4.0
variable 2,0.0
variable 2,-9.0
variable 2,2.0
variable 2,2.0
variable 2,-1.0
variable 2,0.0
variable 2,-2.0
variable 2,-2.0
variable 2,-3.0
variable 2,1.0
variable 2,-2.0
variable 2,1.0
variable 2,-13.0
variable 2,-4.0
